,item_festival,item_festival_title
127,Ganga Dussehra,<img class='dpTooltipImg' src='/images/festivals/60x60/ganga_dussehra.png' alt='icon'> Ganga Dussehra <br> on May 29th (Monday)
128,Gayatri Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/goddess_gayatri.png' alt='icon'> Gayatri Jayanti <br> on May 30th (Tuesday)
129,Nirjala Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Nirjala Ekadashi <br> on May 30th (Tuesday)
130,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on June 1st (Thursday)
131,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on June 3rd (Saturday)
132,Vat Purnima Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/vat_purnima_puja.png' alt='icon'> Vat Purnima Vrat <br> on June 3rd (Saturday)
133,Jyeshtha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Jyeshtha Purnima <br> on June 3rd (Saturday)
134,Ganga Dussehra,<img class='dpTooltipImg' src='/images/festivals/60x60/ganga_dussehra.png' alt='icon'> Ganga Dussehra <br> on May 29th (Monday)
135,Gayatri Jayanti,<img class='dpTooltipImg' src='/images/festivals/60x60/goddess_gayatri.png' alt='icon'> Gayatri Jayanti <br> on May 30th (Tuesday)
136,Nirjala Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Nirjala Ekadashi <br> on May 30th (Tuesday)
137,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on June 1st (Thursday)
138,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on June 3rd (Saturday)
139,Vat Purnima Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/vat_purnima_puja.png' alt='icon'> Vat Purnima Vrat <br> on June 3rd (Saturday)
140,Jyeshtha Purnima,<img class='dpTooltipImg' src='/images/festivals/60x60/purnima_full_moon.png' alt='icon'> Jyeshtha Purnima <br> on June 3rd (Saturday)
141,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on June 4th (Sunday)
142,Krishnapingala Sankashti Chaturthi,<img class='dpTooltipImg' src='/images/festivals/60x60/sankashti_chaturthi.png' alt='icon'> Krishnapingala Sankashti Chaturthi <br> on June 6th (Tuesday)
143,Yogini Ekadashi,<img class='dpTooltipImg' src='/images/festivals/60x60/lord_vishnu_with_goddess_lakshmi.png' alt='icon'> Yogini Ekadashi <br> on June 13th (Tuesday)
144,Pradosh Vrat,<img class='dpTooltipImg' src='/images/festivals/60x60/pradosh_vrat.png' alt='icon'> Pradosh Vrat <br> on June 14th (Wednesday)
145,Mithuna Sankranti,<img class='dpTooltipImg' src='/images/festivals/60x60/mithuna_sankranti.png' alt='icon'> Mithuna Sankranti <br> on June 15th (Thursday)
146,Anvadhan,<img class='dpTooltipImg' src='/images/festivals/60x60/vrat_and_upavas.png' alt='icon'> Anvadhan <br> on June 17th (Saturday)
147,Darsha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Darsha Amavasya <br> on June 17th (Saturday)
148,Ashadha Amavasya,<img class='dpTooltipImg' src='/images/festivals/60x60/amavasya.png' alt='icon'> Ashadha Amavasya <br> on June 17th (Saturday)
149,Ishti,<img class='dpTooltipImg' src='/images/festivals/60x60/agni_nakshatram_begins.png' alt='icon'> Ishti <br> on June 18th (Sunday)
150,Ashadha Navratri,<img class='dpTooltipImg' src='/images/festivals/60x60/chaitra_navratri.png' alt='icon'> Ashadha Navratri <br> on June 18th (Sunday)
151,Chandra Darshana,<img class='dpTooltipImg' src='/images/festivals/60x60/chandra_dev.png' alt='icon'> Chandra Darshana <br> on June 18th (Sunday)
152,Jagannath Rathyatra,<img class='dpTooltipImg' src='/images/festivals/60x60/jagannath_rathyatra.png' alt='icon'> Jagannath Rathyatra <br> on June 19th (Monday)
